"Player","Pos","Squad","id","Age","Season","RATING","Sh/90","np:G-xG","Dist","xG","npxG/Sh","Cmp%","PrgDist","A-xAG","PrgP","Crs","SCA90","PassLive","TO","GCA90","Tkl%","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Succ%","44986","PrgR","Min%","Compl","onG","onGA","xG+/-90","CrdY","CrdR","Fls","Recov","Won%","def","mid","forw","Age^2"
"Aaron Cresswell","defender","West Ham","4f974391","27","2017","74","0.62","0.2","28.7","0.8","0.04","69.9","9345","-0.2","128","196","1.94","36","1","0.26","63.3","51","78","1","120","15","35.7","48","62","89.7","30","45","60","-0.39","7","0","20","149","54.8","1","0","0","729"
"Aaron Ramsey","midfielder","Arsenal","ef619b0b","26","2017","82","2.73","0.9","16.6","6.1","0.11","83.4","4329","2.6","134","17","3.07","53","4","0.63","18.2","24","59","1","16","91","80.6","54","161","54","16","42","25","0.97","0","0","28","128","40","0","1","0","676"
"Abdou Diallo","defender","Mainz 05","fc62f087","21","2017","78","0.48","-0.3","8.1","2.3","0.18","74.4","8699","0.8","100","24","0.89","18","2","0.11","76","23","125","0","102","23","65.3","22","24","78.9","26","29","40","-0.4","5","0","59","110","66.4","1","0","0","441"
"Abdoulaye Bamba","defender","Angers","7fecbcdb","27","2017","71","0.23","-0.1","29.6","0.1","0.03","76.9","4317","-0.5","70","35","1.12","14","2","0.12","53.3","23","40","0","35","5","60","21","55","44.8","16","15","25","-0.04","2","0","21","81","56.7","1","0","0","729"
"Abdoulaye DoucourГ©","midfielder","Watford","02b29014","24","2017","81","1.27","3.5","20.7","3.5","0.08","82.7","7812","0.7","222","26","2.68","83","6","0.19","34.2","44","133","0","95","66","77.4","62","79","97.2","36","44","63","-0.19","10","0","44","345","45.2","0","1","0","576"
"Abdoulaye TourГ©","midfielder","Nantes","ef7cd87a","23","2017","75","1.31","-0.5","27.2","1.5","0.04","78.4","6247","0.1","184","19","2.56","55","7","0.26","34.3","27","136","1","81","16","70.3","32","34","82.2","26","31","34","0.06","3","0","53","254","64.2","0","1","0","529"
"Achraf Hakimi","defender","Real Madrid","e42d61c7","18","2017","75","0.36","1.7","13.7","0.3","0.11","81.2","1832","-0.3","31","30","1.66","10","0","0.12","44","13","31","1","25","13","71","13","56","22.1","7","22","7","1.01","0","0","8","50","47.4","1","0","0","324"
"Adam Lallana","midfielder","Liverpool","99813635","29","2017","81","3.21","-1.5","18.9","1.5","0.13","83.8","705","-0.4","33","8","7.38","17","1","0.74","20","3","4","0","1","19","85.7","8","38","9","0","4","1","1.17","1","0","4","15","42.9","0","1","0","841"
"Adam MaruЕЎiД‡","defender","Lazio","d4535821","24","2017","78","1.39","-0.1","17.8","3.1","0.08","76.8","4097","0.7","67","98","2.71","60","6","0.36","42.9","58","59","0","36","100","46","49","229","73.8","21","70","35","0.62","3","1","28","134","62.8","1","0","0","576"
"Adam Ounas","forward","Napoli","ed90babd","20","2017","73","4.69","-0.2","23.5","0.2","0.04","77.6","137","-0.3","4","7","9.47","6","2","1.89","25","2","4","0","1","3","66.7","3","17","2.8","0","1","0","1.18","0","0","0","3","0","0","0","1","400"
