Player,Pos,Squad,id,Age,Season,RATING,Sh/90,np:G-xG,Dist,npxG/Sh,Cmp%,A-xAG,Crs,TO,Tkl%,Tkl+Int,Err,Def Pen,Succ%,44986,onGA,xG+/-90,CrdY,CrdR,Won%,def,mid,forw,Age^2
Aaron Cresswell,defender,West Ham,4f974391,27,2017,74,0.62,0.2,28.7,0.04,69.9,-0.2,196,1,63.3,78,1,120,35.7,48,60,-0.39,7,0,54.8,1,0,0,729
Aaron Ramsey,midfielder,Arsenal,ef619b0b,26,2017,82,2.73,0.9,16.6,0.11,83.4,2.6,17,4,18.2,59,1,16,80.6,54,25,0.97,0,0,40.0,0,1,0,676
Abdou Diallo,defender,Mainz 05,fc62f087,21,2017,78,0.48,-0.3,8.1,0.18,74.4,0.8,24,2,76.0,125,0,102,65.3,22,40,-0.4,5,0,66.4,1,0,0,441
Abdoulaye Bamba,defender,Angers,7fecbcdb,27,2017,71,0.23,-0.1,29.6,0.03,76.9,-0.5,35,2,53.3,40,0,35,60.0,21,25,-0.04,2,0,56.7,1,0,0,729
Abdoulaye DoucourГ©,midfielder,Watford,02b29014,24,2017,81,1.27,3.5,20.7,0.08,82.7,0.7,26,6,34.2,133,0,95,77.4,62,63,-0.19,10,0,45.2,0,1,0,576
Abdoulaye TourГ©,midfielder,Nantes,ef7cd87a,23,2017,75,1.31,-0.5,27.2,0.04,78.4,0.1,19,7,34.3,136,1,81,70.3,32,34,0.06,3,0,64.2,0,1,0,529
Achraf Hakimi,defender,Real Madrid,e42d61c7,18,2017,75,0.36,1.7,13.7,0.11,81.2,-0.3,30,0,44.0,31,1,25,71.0,13,7,1.01,0,0,47.4,1,0,0,324
Adam Lallana,midfielder,Liverpool,99813635,29,2017,81,3.21,-1.5,18.9,0.13,83.8,-0.4,8,1,20.0,4,0,1,85.7,8,1,1.17,1,0,42.9,0,1,0,841
Adam MaruЕЎiД‡,defender,Lazio,d4535821,24,2017,78,1.39,-0.1,17.8,0.08,76.8,0.7,98,6,42.9,59,0,36,46.0,49,35,0.62,3,1,62.8,1,0,0,576
Adam Ounas,forward,Napoli,ed90babd,20,2017,73,4.69,-0.2,23.5,0.04,77.6,-0.3,7,2,25.0,4,0,1,66.7,3,0,1.18,0,0,0.0,0,0,1,400
Adama Soumaoro,defender,Lille,7b075c75,25,2017,74,0.08,-0.1,9.2,0.09,92.2,-0.1,0,0,66.7,25,1,93,100.0,1,26,-0.66,2,0,67.9,1,0,0,625
Ademola Lookman,midfielder,RB Leipzig,7c104bb7,19,2017,72,2.04,1.9,14.1,0.24,74.6,0.5,10,5,0.0,7,0,5,42.9,18,10,-0.08,1,0,16.7,0,1,0,361
Admir Mehmedi,forward,Leverkusen,b500b384,26,2017,77,1.67,1.1,16.9,0.07,77.9,1.1,37,0,30.8,33,0,6,16.7,11,15,0.23,3,0,56.0,0,0,1,676
Adnan Januzaj,forward,Real Sociedad,4737cebe,22,2017,78,3.43,-3.3,18.7,0.12,73.7,-0.5,59,21,27.8,27,0,7,53.6,51,27,0.3,4,0,26.3,0,0,1,484
Adrien Tameze,midfielder,Nice,8da74c05,23,2017,73,0.37,-0.3,21.3,0.04,91.0,0.1,3,1,55.3,99,1,52,78.3,19,19,-0.06,3,0,51.2,0,1,0,529
Adrien Thomasson,midfielder,Nantes,c76b7567,23,2017,74,2.02,0.8,17.5,0.07,74.7,-0.2,55,4,30.1,89,0,21,60.0,42,33,0.06,4,0,27.7,0,1,0,529
Ainsley Maitland-Niles,forward,Arsenal,e3a5814e,19,2017,71,0.49,-0.2,20.9,0.05,82.8,-0.9,20,4,45.2,37,2,36,80.0,18,16,0.0,1,0,30.0,0,0,1,361
Alberto Grassi,midfielder,SPAL,6cc97b6a,22,2017,75,1.48,0.1,18.3,0.08,82.2,-0.7,11,1,45.7,91,0,54,43.3,30,35,-0.43,3,0,54.5,0,1,0,484
Albin Ekdal,midfielder,Hamburger SV,f503ea63,28,2017,76,0.65,-0.5,15.1,0.06,75.9,0.0,0,0,62.1,60,0,30,43.8,14,16,-0.22,3,0,48.3,0,1,0,784
Alessandro Bastoni,defender,Atalanta,75b86fb3,18,2017,67,0.99,0.0,11.0,0.03,81.4,-0.1,0,1,100.0,3,0,2,66.7,0,1,0.68,0,0,0.0,1,0,0,324
Alessandro Florenzi,defender,Roma,e288d4b3,26,2017,82,1.43,-2.1,19.5,0.08,76.5,-1.6,144,4,38.3,82,1,69,52.9,69,19,0.74,2,0,33.3,1,0,0,676
Alessandro SchГ¶pf,midfielder,Schalke 04,106bca06,23,2017,77,1.0,-0.4,24.4,0.04,75.0,-0.5,19,1,47.8,37,1,16,36.1,31,9,0.07,3,0,38.1,0,1,0,529
Alessio Romagnoli,defender,Milan,3ead85f9,22,2017,82,0.38,0.9,14.5,0.12,90.9,-0.3,5,1,64.3,43,1,157,100.0,3,25,0.46,8,2,65.7,1,0,0,484
Alex Ferrari,defender,Hellas Verona,d0dbca9f,23,2017,70,0.34,0.2,21.8,0.1,74.0,-0.2,18,4,53.7,120,4,142,57.6,24,47,-1.04,5,0,55.9,1,0,0,529
Alex Iwobi,midfielder,Arsenal,6ca5ec4b,21,2017,76,2.21,-0.9,18.4,0.09,85.1,1.5,20,5,27.8,26,1,16,69.2,80,26,0.5,1,0,17.6,0,1,0,441
Alex Oxlade-Chamberlain,midfielder,Liverpool,38c7feef,23,2017,80,2.29,0.8,21.1,0.06,76.5,3.2,70,9,28.6,52,0,13,74.1,54,20,0.95,3,0,27.0,0,1,0,529
Alex Sandro,defender,Juventus,0d82903c,26,2017,86,0.77,2.4,15.9,0.09,83.4,0.2,90,3,51.3,87,0,58,74.6,73,15,0.87,8,0,61.3,1,0,0,676
Alexander Djiku,defender,Caen,43e7a164,22,2017,76,0.64,-1.6,13.2,0.09,80.3,-0.1,5,0,48.1,122,2,117,85.7,7,33,-0.05,10,0,62.8,1,0,0,484
Alexander Hack,defender,Mainz 05,a5ec3ede,23,2017,74,0.84,0.3,18.0,0.06,76.2,-0.3,4,0,64.9,72,2,114,71.4,7,21,-0.28,2,0,69.9,1,0,0,529
Alexandre Lacazette,forward,Arsenal,9dbb75ca,26,2017,85,2.7,-0.1,13.6,0.18,75.0,-0.4,16,13,14.8,31,0,8,73.3,12,28,0.8,1,0,32.6,0,0,1,676
Alexis SГЎnchez,midfielder,Arsenal,2c0f8e9e,28,2017,87,4.07,-1.3,19.9,0.11,69.4,-1.9,54,14,21.9,26,0,9,66.7,53,21,0.6,4,0,36.8,0,1,0,784
Alfred Duncan,midfielder,Sassuolo,528492ea,24,2017,75,1.85,-2.0,23.1,0.05,69.2,-0.4,74,4,28.8,58,1,40,66.7,29,30,0.09,4,0,37.8,0,1,0,576
Allan Saint-Maximin,forward,Nice,2b16cb1a,20,2017,79,1.56,-0.9,17.4,0.1,73.4,2.1,70,16,42.9,29,0,8,64.7,83,33,0.24,1,0,40.0,0,0,1,400
Almamy TourГ©,defender,Monaco,c8c60119,21,2017,74,0.5,0.6,15.8,0.06,70.6,2.4,46,3,60.0,73,0,53,68.4,25,21,-0.35,3,0,59.3,1,0,0,441
Amadou Diawara,midfielder,Napoli,bf309d24,20,2017,77,0.82,0.8,28.0,0.03,92.2,-0.2,5,0,14.3,20,0,11,100.0,7,8,1.14,1,0,33.3,0,1,0,400
Ambroise Oyongo,defender,Montpellier,e3e05edf,26,2017,73,0.45,0.0,30.6,0.04,67.6,-0.1,14,0,0.0,8,0,3,75.0,7,2,-0.2,0,0,25.0,1,0,0,676
Amine Harit,midfielder,Schalke 04,e7d59f4f,20,2017,78,1.06,-0.8,20.2,0.12,81.9,-1.4,26,13,35.1,58,0,7,44.9,79,24,0.23,3,0,41.4,0,1,0,400
Anastasios Donis,midfielder,Stuttgart,0f26fd24,20,2017,73,3.6,-2.4,20.8,0.12,64.4,-0.2,41,11,75.0,29,0,7,51.3,37,12,-0.27,1,0,36.0,0,1,0,400
Ander Herrera,midfielder,Manchester Utd,436a9dd0,27,2017,82,0.85,-0.4,25.2,0.03,86.2,0.4,15,0,29.0,90,2,50,71.4,19,14,-0.25,5,0,47.4,0,1,0,729
Andrea Conti,defender,Milan,8fef5412,23,2017,75,0.57,0.0,12.7,0.05,88.7,-0.1,3,0,66.7,5,0,6,100.0,0,1,1.12,0,0,100.0,1,0,0,529
Andrea Petagna,forward,Atalanta,03f946ed,22,2017,75,2.39,-0.7,13.0,0.11,72.4,0.9,20,5,9.1,12,0,5,53.8,24,18,0.41,6,0,50.0,0,0,1,484
Andrea Ranocchia,defender,Inter,539230cf,29,2017,76,1.0,1.2,8.6,0.11,89.8,0.0,1,0,50.0,20,0,40,100.0,1,4,0.48,4,0,83.3,1,0,0,841
Andreas Christensen,defender,Chelsea,1cb49278,21,2017,82,0.52,-0.9,10.9,0.07,93.1,-0.1,0,0,66.7,65,5,150,100.0,12,23,0.65,0,0,67.9,1,0,0,441
Andrei Girotto,midfielder,Nantes,3befc2b6,25,2017,70,1.84,-0.4,25.0,0.04,75.2,0.4,8,4,40.4,72,1,44,60.0,21,14,0.24,8,0,58.2,0,1,0,625
Andrej KramariД‡,forward,Hoffenheim,603cb947,26,2017,83,3.27,2.9,19.9,0.11,72.7,0.0,139,5,37.5,14,0,4,37.7,48,38,0.08,1,0,25.0,0,0,1,676
Andrew Robertson,defender,Liverpool,2e4f5f03,23,2017,83,0.56,0.5,19.3,0.05,83.5,0.9,88,1,51.7,57,0,60,52.9,50,18,1.27,2,0,62.5,1,0,0,529
Andriy Yarmolenko,forward,Dortmund,849c826a,27,2017,80,2.69,-1.8,15.8,0.15,73.0,-0.2,46,3,43.8,24,0,8,36.4,25,18,0.96,0,0,40.9,0,0,1,729
Andros Townsend,forward,Crystal Palace,b28bbd58,26,2017,78,1.79,-1.0,22.3,0.05,71.0,-0.2,176,16,32.0,95,0,29,68.9,108,48,0.15,3,0,18.8,0,0,1,676
AndrГ© Hahn,forward,Hamburger SV,cd82452e,26,2017,73,2.78,-0.5,17.0,0.08,50.5,-0.9,38,1,31.3,43,0,26,12.9,11,25,-0.59,0,0,45.2,0,0,1,676
AndrГ©s Guardado,midfielder,Betis,ef322658,30,2017,82,1.27,-0.7,27.2,0.05,83.7,2.8,90,2,27.3,63,1,42,66.7,35,42,-0.02,7,0,48.6,0,1,0,900
Andy Delort,forward,Toulouse,d33c706e,25,2017,75,2.62,-3.4,19.0,0.11,56.1,-0.1,112,6,21.1,32,0,17,46.3,23,36,-0.04,5,0,49.5,0,0,1,625
Angelo Fulgini,midfielder,Angers,4b96c347,20,2017,74,2.18,-0.1,20.6,0.08,73.4,1.1,57,3,29.6,41,0,13,65.0,38,28,0.01,4,0,20.9,0,1,0,400
Angelo Ogbonna,defender,West Ham,74b2cd7e,29,2017,78,0.25,0.3,13.1,0.08,79.4,-0.5,2,1,44.4,88,1,215,81.8,6,60,-0.55,3,0,52.7,1,0,0,841
Ante RebiД‡,forward,Eint Frankfurt,536cebe5,23,2017,79,2.36,1.3,18.4,0.1,54.3,-2.3,36,9,29.2,43,0,13,42.2,45,20,0.07,8,0,35.9,0,0,1,529
Anthony Martial,forward,Manchester Utd,8b788c01,21,2017,84,2.73,2.5,17.3,0.12,77.7,-0.1,48,9,25.0,18,0,11,51.8,79,13,0.28,1,0,36.8,0,0,1,441
Antoine Griezmann,forward,AtlГ©tico Madrid,df69b544,26,2017,89,2.5,5.5,18.0,0.16,74.9,2.2,41,10,33.3,46,0,21,60.9,57,15,0.52,7,1,29.4,0,0,1,676
Antonio Candreva,forward,Inter,356c9002,30,2017,81,2.59,-4.0,22.1,0.06,71.6,-0.9,288,8,20.5,34,0,21,65.8,104,26,0.34,4,0,0.0,0,0,1,900
Antonio RГјdiger,defender,Chelsea,18b896d6,24,2017,81,0.58,0.3,16.5,0.12,88.8,0.6,10,0,48.4,55,1,123,80.0,23,22,0.7,4,0,60.4,1,0,0,576
Antonio Sanabria,forward,Betis,0a447501,21,2017,79,2.53,2.9,10.8,0.21,72.4,-0.1,2,2,0.0,12,0,7,54.5,7,17,0.03,0,0,39.0,0,0,1,441
AntonГ­n BarГЎk,midfielder,Udinese,01efac19,22,2017,77,1.26,4.2,20.7,0.07,77.3,-0.3,34,3,36.2,76,1,33,56.4,56,44,-0.12,5,0,50.8,0,1,0,484
Arkadiusz Milik,forward,Napoli,85613cf0,23,2017,82,4.62,0.5,15.4,0.19,77.2,0.3,2,0,0.0,3,0,6,50.0,7,8,1.45,2,0,19.0,0,0,1,529
Armando Izzo,defender,Genoa,89976232,25,2017,76,0.19,0.1,10.7,0.3,74.8,-0.2,14,0,66.7,64,0,77,87.5,11,15,0.21,2,0,65.9,1,0,0,625
Arne Maier,midfielder,Hertha BSC,ab700320,18,2017,72,0.96,-1.0,26.3,0.08,82.6,-0.2,10,0,75.0,53,0,22,50.0,16,17,0.19,1,0,33.3,0,1,0,324
Arthur Masuaku,defender,West Ham,57df7a11,23,2017,76,0.43,-0.3,27.3,0.03,71.8,1.0,100,4,43.1,84,1,76,64.3,70,29,-0.29,5,0,54.8,1,0,0,529
Ashley Barnes,forward,Burnley,2691c772,27,2017,77,2.49,2.3,15.4,0.11,59.5,-1.6,16,4,17.2,23,0,21,64.0,15,23,-0.4,10,0,27.1,0,0,1,729
Ashley Westwood,midfielder,Burnley,495945ef,27,2017,75,0.65,-0.6,19.7,0.08,80.0,0.0,13,0,12.5,32,0,26,50.0,7,17,-0.3,2,0,64.3,0,1,0,729
Ashley Young,defender,Manchester Utd,be927d03,32,2017,80,0.66,1.2,21.9,0.04,76.4,0.4,121,4,38.3,110,1,96,55.8,57,26,0.19,7,0,47.5,1,0,0,1024
Aymen Barkok,forward,Eint Frankfurt,a2a85828,19,2017,69,0.86,-0.1,23.0,0.04,73.3,0.5,4,0,71.4,13,0,3,40.0,4,3,-0.44,1,0,30.8,0,0,1,361
Aymeric Laporte,defender,Athletic Club,119b9a8e,23,2017,84,0.42,-0.7,17.5,0.09,83.0,0.1,9,0,56.0,65,1,108,66.7,6,22,0.0,5,0,70.1,1,0,0,529
AГЇssa Mandi,defender,Betis,fbd6378b,25,2017,79,0.42,-2.3,11.0,0.23,91.6,-0.2,1,0,55.9,125,3,218,81.3,29,49,-0.01,9,1,57.3,1,0,0,625
Baptiste Santamaria,midfielder,Angers,5e22e2a4,22,2017,75,0.63,-0.6,27.2,0.03,78.0,-0.8,16,2,27.7,102,2,64,88.0,35,43,-0.06,6,0,55.8,0,1,0,484
Bartosz BereszyЕ„ski,defender,Sampdoria,61b3978f,25,2017,73,0.18,-0.1,27.5,0.02,79.1,0.0,61,1,58.5,93,2,97,73.5,40,39,-0.34,5,0,53.1,1,0,0,625
Ben Chilwell,defender,Leicester City,d2424d1b,20,2017,76,0.29,-0.2,24.8,0.03,71.1,-0.4,84,3,46.9,64,3,61,59.6,55,30,0.22,2,2,52.0,1,0,0,400
Ben Davies,defender,Tottenham,44781702,24,2017,81,0.7,0.9,21.2,0.06,75.2,2.8,149,1,52.1,75,1,72,71.4,52,20,0.88,3,0,47.4,1,0,0,576
Ben Mee,defender,Burnley,8df7a2fb,27,2017,80,0.86,-1.9,12.4,0.07,75.8,-0.5,3,0,55.2,66,1,213,100.0,6,27,-0.5,5,0,59.2,1,0,0,729
Benjamin AndrГ©,midfielder,Rennes,ef9c1c95,26,2017,77,0.96,-1.3,13.9,0.13,78.0,1.1,21,3,38.1,150,1,81,79.5,54,36,0.1,11,1,55.3,0,1,0,676
Benjamin Bourigeaud,midfielder,Rennes,20e73fac,23,2017,77,1.83,0.5,23.2,0.1,72.2,-1.7,279,1,21.5,100,0,38,47.9,61,41,0.0,3,0,18.8,0,1,0,529
Benjamin Henrichs,defender,Leverkusen,0a89e877,20,2017,76,1.35,-0.8,20.3,0.04,71.2,-0.3,36,1,62.8,73,0,45,31.8,19,22,0.59,1,1,52.6,1,0,0,400
Benjamin Pavard,defender,Stuttgart,45a03961,21,2017,80,0.32,0.0,17.1,0.09,83.2,-1.1,9,0,76.6,125,1,242,66.7,15,36,-0.09,2,0,53.8,1,0,0,441
Berat Djimsiti,defender,Benevento,6eee05f1,24,2017,67,0.3,-1.0,9.9,0.12,87.9,0.4,1,1,40.0,94,1,293,80.0,13,61,-0.78,2,0,65.2,1,0,0,576
Bernardo Silva,forward,Manchester City,3eb22ec9,22,2017,84,1.47,2.5,14.0,0.14,83.6,1.2,50,1,20.0,37,1,9,70.7,41,10,1.26,0,0,26.3,0,0,1,484
Bertrand TraorГ©,forward,Lyon,c47541e0,21,2017,79,3.15,4.1,17.1,0.11,80.7,1.3,28,13,28.6,71,1,27,63.4,79,30,0.76,3,0,63.4,0,0,1,441
Borja Mayoral,forward,Real Madrid,64e8ed6d,20,2017,75,3.91,-0.1,10.9,0.21,83.5,0.9,0,0,20.0,6,0,1,77.8,4,7,1.5,0,0,66.7,0,0,1,400
Boubacar Kamara,forward,Marseille,cc77354e,17,2017,71,0.4,-0.2,8.8,0.1,87.5,0.7,2,1,66.7,17,0,19,83.3,1,6,1.02,1,0,52.6,0,0,1,289
Bouna Sarr,midfielder,Marseille,1a4b9094,25,2017,77,0.91,-1.1,21.1,0.06,85.4,0.2,84,3,57.9,97,2,47,62.0,65,20,1.33,5,0,52.9,0,1,0,625
Brais MГ©ndez,midfielder,Celta Vigo,c9e39d91,20,2017,73,2.09,-0.7,18.8,0.08,76.1,-0.7,24,0,41.2,23,0,11,50.0,18,18,-0.39,0,0,26.9,0,1,0,400
Bram Nuytinck,defender,Udinese,e33f36d5,27,2017,74,0.46,0.0,11.7,0.09,84.9,0.5,3,0,64.1,102,1,140,50.0,5,43,-0.14,2,0,61.6,1,0,0,729
Breel Embolo,forward,Schalke 04,0b4f388a,20,2017,76,1.76,-1.1,14.7,0.23,72.9,-0.2,7,5,22.2,20,0,4,30.3,22,13,0.17,4,0,30.2,0,0,1,400
Bryan Cristante,midfielder,Atalanta,16657b95,22,2017,78,2.49,1.5,16.0,0.1,76.0,-2.9,27,6,30.5,89,0,39,62.7,56,32,0.66,4,0,52.7,0,1,0,484
Callum Hudson-Odoi,forward,Chelsea,15f3ec41,16,2017,68,6.21,-0.1,19.9,0.04,66.7,0.0,2,0,0.0,0,0,0,100.0,2,1,1.6,0,0,0.0,0,0,1,256
Callum Wilson,forward,Bournemouth,c596fcb0,25,2017,78,2.41,0.4,13.6,0.14,69.0,0.5,15,2,7.1,12,0,18,39.5,10,33,-0.25,0,0,21.0,0,0,1,625
Calum Chambers,defender,Arsenal,dc6f5bdd,22,2017,75,1.04,-1.4,13.8,0.14,82.7,-0.1,7,1,35.7,35,0,70,70.0,11,14,0.29,1,0,49.1,1,0,0,484
Casemiro,midfielder,Real Madrid,4d224fe8,25,2017,88,1.11,1.7,23.2,0.1,87.7,0.3,6,1,50.0,172,3,123,64.7,32,33,0.94,8,0,61.5,0,1,0,625
Cengiz Гњnder,forward,Roma,1880614f,20,2017,77,3.31,2.4,18.6,0.1,66.7,0.0,59,3,16.7,19,0,10,60.5,42,8,1.09,0,0,26.3,0,0,1,400
Cenk Tosun,forward,Everton,9a104dee,26,2017,80,1.73,2.2,13.3,0.15,68.8,-1.4,7,1,9.1,7,0,14,50.0,11,13,-0.09,0,0,32.0,0,0,1,676
Cesc FГ bregas,midfielder,Chelsea,33508c78,30,2017,84,1.48,-0.4,19.2,0.06,79.7,-2.8,140,2,26.1,90,2,51,75.0,53,26,0.59,5,2,31.3,0,1,0,900
