"Player","Pos","Squad","id","Age","Season","RATING","Gls","SoT%","Cmp","Cmp%","Ast","Tkl","Tkl%","Clr","Att.5","Succ%","Min","PPM","CrdY","CrdR","Fls","Won%","def","mid","forw","Age^2"
"Aaron Cresswell","defender","West Ham","4f974391","27","2017","74","1","28.6","1204","69.9","3","34","63.3","117","14","35.7","3069","1.14","7","0","20","54.8","1","0","0","729"
"Aaron Ramsey","midfielder","Arsenal","ef619b0b","26","2017","82","7","44.6","1065","83.4","8","35","18.2","6","36","80.6","1846","1.83","0","0","28","40","0","1","0","676"
"Abdou Diallo","defender","Mainz 05","fc62f087","21","2017","78","2","23.1","905","74.4","1","75","76","75","49","65.3","2415","1.15","5","0","59","66.4","1","0","0","441"
"Abdoulaye Bamba","defender","Angers","7fecbcdb","27","2017","71","0","25","657","76.9","0","29","53.3","52","15","60","1533","0.78","2","0","21","56.7","1","0","0","729"
"Abdoulaye DoucourГ©","midfielder","Watford","02b29014","24","2017","81","7","36.2","1885","82.7","3","79","34.2","61","53","77.4","3324","1.11","10","0","44","45.2","0","1","0","576"
"Abdoulaye TourГ©","midfielder","Nantes","ef7cd87a","23","2017","75","1","29.3","1075","78.4","1","74","34.3","49","64","70.3","2810","1.44","3","0","53","64.2","0","1","0","529"
"Achraf Hakimi","defender","Real Madrid","e42d61c7","18","2017","75","2","100","411","81.2","0","21","44","19","31","71","757","2.11","0","0","8","47.4","1","0","0","324"
"Adam Lallana","midfielder","Liverpool","99813635","29","2017","81","0","0","192","83.8","0","3","20","1","7","85.7","308","2.33","1","0","4","42.9","0","1","0","841"
"Adam MaruЕЎiД‡","defender","Lazio","d4535821","24","2017","78","3","38.5","926","76.8","4","28","42.9","33","63","46","2523","1.91","3","1","28","62.8","1","0","0","576"
"Adam Ounas","forward","Napoli","ed90babd","20","2017","73","0","20","45","77.6","0","4","25","2","6","66.7","96","1.43","0","0","0","0","0","0","1","400"
"Adama Soumaoro","defender","Lille","7b075c75","25","2017","74","0","0","540","92.2","0","9","66.7","50","9","100","1192","1.07","2","0","7","67.9","1","0","0","625"
"Ademola Lookman","midfielder","RB Leipzig","7c104bb7","19","2017","72","5","46.2","173","74.6","3","5","0","2","28","42.9","574","1.27","1","0","12","16.7","0","1","0","361"
"Admir Mehmedi","forward","Leverkusen","b500b384","26","2017","77","2","30.8","331","77.9","3","20","30.8","5","12","16.7","700","1.5","3","0","21","56","0","0","1","676"
"Adnan Januzaj","forward","Real Sociedad","4737cebe","22","2017","78","3","23.3","407","73.7","5","16","27.8","5","125","53.6","1573","1.18","4","0","32","26.3","0","0","1","484"
"Adrien Tameze","midfielder","Nice","8da74c05","23","2017","73","0","42.9","1201","91","1","58","55.3","22","46","78.3","1681","1.54","3","0","25","51.2","0","1","0","529"
"Adrien Thomasson","midfielder","Nantes","c76b7567","23","2017","74","5","27.6","994","74.7","3","71","30.1","20","35","60","2578","1.33","4","0","28","27.7","0","1","0","529"
"Ainsley Maitland-Niles","forward","Arsenal","e3a5814e","19","2017","71","0","0","530","82.8","0","25","45.2","35","25","80","914","1.67","1","0","10","30","0","0","1","361"
"Alberto Grassi","midfielder","SPAL","6cc97b6a","22","2017","75","3","35.1","644","82.2","0","44","45.7","55","30","43.3","2253","1.04","3","0","27","54.5","0","1","0","484"
"Albin Ekdal","midfielder","Hamburger SV","f503ea63","28","2017","76","0","12.5","442","75.9","1","39","62.1","19","16","43.8","1108","1.26","3","0","14","48.3","0","1","0","784"
"Alessandro Bastoni","defender","Atalanta","75b86fb3","18","2017","67","0","0","70","81.4","0","2","100","3","3","66.7","91","2.25","0","0","2","0","1","0","0","324"
"Alessandro Florenzi","defender","Roma","e288d4b3","26","2017","82","1","15.8","1379","76.5","3","38","38.3","62","34","52.9","2387","2.09","2","0","15","33.3","1","0","0","676"
"Alessandro SchГ¶pf","midfielder","Schalke 04","106bca06","23","2017","77","0","33.3","321","75","0","22","47.8","13","36","36.1","808","2.07","3","0","26","38.1","0","1","0","529"
"Alessio Romagnoli","defender","Milan","3ead85f9","22","2017","82","2","50","1356","90.9","0","20","64.3","154","2","100","2353","1.68","8","2","31","65.7","1","0","0","484"
"Alex Ferrari","defender","Hellas Verona","d0dbca9f","23","2017","70","1","12.5","759","74","0","73","53.7","117","33","57.6","2136","0.72","5","0","19","55.9","1","0","0","529"
"Alex Iwobi","midfielder","Arsenal","6ca5ec4b","21","2017","76","3","48.9","997","85.1","5","19","27.8","10","52","69.2","1830","1.42","1","0","11","17.6","0","1","0","441"
"Alex Oxlade-Chamberlain","midfielder","Liverpool","38c7feef","23","2017","80","3","39.5","609","76.5","7","32","28.6","14","54","74.1","1493","2","3","0","16","27","0","1","0","529"
"Alex Sandro","defender","Juventus","0d82903c","26","2017","86","4","38.9","1417","83.4","3","57","51.3","45","71","74.6","2117","2.77","8","0","51","61.3","1","0","0","676"
"Alexander Djiku","defender","Caen","43e7a164","22","2017","76","0","11.1","1042","80.3","0","65","48.1","155","7","85.7","2520","1","10","0","43","62.8","1","0","0","484"
"Alexander Hack","defender","Mainz 05","a5ec3ede","23","2017","74","1","33.3","500","76.2","0","46","64.9","87","7","71.4","1287","1.13","2","0","10","69.9","1","0","0","529"
"Alexandre Lacazette","forward","Arsenal","9dbb75ca","26","2017","85","14","48.5","558","75","4","24","14.8","5","45","73.3","2202","1.78","1","0","28","32.6","0","0","1","676"
"Alexis SГЎnchez","midfielder","Arsenal","2c0f8e9e","28","2017","87","7","35.3","643","69.4","3","20","21.9","1","60","66.7","1503","1.89","4","0","21","36.8","0","1","0","784"
"Alfred Duncan","midfielder","Sassuolo","528492ea","24","2017","75","0","22.5","556","69.2","2","39","28.8","29","51","66.7","1947","1.27","4","0","40","37.8","0","1","0","576"
"Allan Saint-Maximin","forward","Nice","2b16cb1a","20","2017","79","3","41","674","73.4","7","18","42.9","10","167","64.7","2246","1.53","1","0","9","40","0","0","1","400"
