Player,Pos,Squad,id,Age,Season,RATING,Gls,SoT%,Cmp%,Ast,Tkl%,Clr,Att.5,Succ%,PPM,CrdY,CrdR,Won%,def,mid,forw,Age^2
Aaron Cresswell,defender,West Ham,4f974391,27,2017,74,1,28.6,69.9,3,63.3,117,14,35.7,1.14,7,0,54.8,1,0,0,729
Aaron Ramsey,midfielder,Arsenal,ef619b0b,26,2017,82,7,44.6,83.4,8,18.2,6,36,80.6,1.83,0,0,40.0,0,1,0,676
Abdou Diallo,defender,Mainz 05,fc62f087,21,2017,78,2,23.1,74.4,1,76.0,75,49,65.3,1.15,5,0,66.4,1,0,0,441
Abdoulaye Bamba,defender,Angers,7fecbcdb,27,2017,71,0,25.0,76.9,0,53.3,52,15,60.0,0.78,2,0,56.7,1,0,0,729
Abdoulaye DoucourГ©,midfielder,Watford,02b29014,24,2017,81,7,36.2,82.7,3,34.2,61,53,77.4,1.11,10,0,45.2,0,1,0,576
Abdoulaye TourГ©,midfielder,Nantes,ef7cd87a,23,2017,75,1,29.3,78.4,1,34.3,49,64,70.3,1.44,3,0,64.2,0,1,0,529
Achraf Hakimi,defender,Real Madrid,e42d61c7,18,2017,75,2,100.0,81.2,0,44.0,19,31,71.0,2.11,0,0,47.4,1,0,0,324
Adam Lallana,midfielder,Liverpool,99813635,29,2017,81,0,0.0,83.8,0,20.0,1,7,85.7,2.33,1,0,42.9,0,1,0,841
Adam MaruЕЎiД‡,defender,Lazio,d4535821,24,2017,78,3,38.5,76.8,4,42.9,33,63,46.0,1.91,3,1,62.8,1,0,0,576
Adam Ounas,forward,Napoli,ed90babd,20,2017,73,0,20.0,77.6,0,25.0,2,6,66.7,1.43,0,0,0.0,0,0,1,400
Adama Soumaoro,defender,Lille,7b075c75,25,2017,74,0,0.0,92.2,0,66.7,50,9,100.0,1.07,2,0,67.9,1,0,0,625
Ademola Lookman,midfielder,RB Leipzig,7c104bb7,19,2017,72,5,46.2,74.6,3,0.0,2,28,42.9,1.27,1,0,16.7,0,1,0,361
Admir Mehmedi,forward,Leverkusen,b500b384,26,2017,77,2,30.8,77.9,3,30.8,5,12,16.7,1.5,3,0,56.0,0,0,1,676
Adnan Januzaj,forward,Real Sociedad,4737cebe,22,2017,78,3,23.3,73.7,5,27.8,5,125,53.6,1.18,4,0,26.3,0,0,1,484
Adrien Tameze,midfielder,Nice,8da74c05,23,2017,73,0,42.9,91.0,1,55.3,22,46,78.3,1.54,3,0,51.2,0,1,0,529
Adrien Thomasson,midfielder,Nantes,c76b7567,23,2017,74,5,27.6,74.7,3,30.1,20,35,60.0,1.33,4,0,27.7,0,1,0,529
Ainsley Maitland-Niles,forward,Arsenal,e3a5814e,19,2017,71,0,0.0,82.8,0,45.2,35,25,80.0,1.67,1,0,30.0,0,0,1,361
Alberto Grassi,midfielder,SPAL,6cc97b6a,22,2017,75,3,35.1,82.2,0,45.7,55,30,43.3,1.04,3,0,54.5,0,1,0,484
