"Player","Pos","Squad","id","Age","Season","RATING","xG","xA","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Att.5","Succ%","TotDist.1","Mn/Sub","onxG","xG+/-90","OG","Recov","Won%","def","mid","forw","Age^2"
"Aaron Cresswell","defender","West Ham","4f974391","27","2017","74","0.8","2.4","51","78","1","120","15","14","35.7","4032","0","34.5","-0.39","0","149","54.8","1","0","0","729"
"Aaron Ramsey","midfielder","Arsenal","ef619b0b","26","2017","82","6.1","5.3","24","59","1","16","91","36","80.6","5745","0","42.8","0.97","0","128","40","0","1","0","676"
"Abdou Diallo","defender","Mainz 05","fc62f087","21","2017","78","2.3","1.6","23","125","0","102","23","49","65.3","4673","0","27.8","-0.4","0","110","66.4","1","0","0","441"
"Abdoulaye Bamba","defender","Angers","7fecbcdb","27","2017","71","0.1","0.8","23","40","0","35","5","15","60","2127","9","21.3","-0.04","0","81","56.7","1","0","0","729"
"Abdoulaye DoucourГ©","midfielder","Watford","02b29014","24","2017","81","3.5","2.9","44","133","0","95","66","53","77.4","7524","0","43.5","-0.19","0","345","45.2","0","1","0","576"
"Abdoulaye TourГ©","midfielder","Nantes","ef7cd87a","23","2017","75","1.5","1.4","27","136","1","81","16","64","70.3","4086","29","33.5","0.06","0","254","64.2","0","1","0","529"
"Achraf Hakimi","defender","Real Madrid","e42d61c7","18","2017","75","0.3","0.6","13","31","1","25","13","31","71","2002","62","18.5","1.01","0","50","47.4","1","0","0","324"
"Adam Lallana","midfielder","Liverpool","99813635","29","2017","81","1.5","0.6","3","4","0","1","19","7","85.7","906","0","4.6","1.17","0","15","42.9","0","1","0","841"
"Adam MaruЕЎiД‡","defender","Lazio","d4535821","24","2017","78","3.1","3.1","58","59","0","36","100","63","46","4521","0","50","0.62","0","134","62.8","1","0","0","576"
"Adam Ounas","forward","Napoli","ed90babd","20","2017","73","0.2","0.3","2","4","0","1","3","6","66.7","354","0","1.5","1.18","0","3","0","0","0","1","400"
"Adama Soumaoro","defender","Lille","7b075c75","25","2017","74","0.1","0.1","1","25","1","93","6","9","100","2458","0","11.7","-0.66","0","80","67.9","1","0","0","625"
"Ademola Lookman","midfielder","RB Leipzig","7c104bb7","19","2017","72","3.1","1.8","13","7","0","5","21","28","42.9","1472","0","10.4","-0.08","0","33","16.7","0","1","0","361"
"Admir Mehmedi","forward","Leverkusen","b500b384","26","2017","77","0.9","1.7","11","33","0","6","26","12","16.7","1419","0","12","0.23","0","36","56","0","0","1","676"
"Adnan Januzaj","forward","Real Sociedad","4737cebe","22","2017","78","6.3","3.6","20","27","0","7","95","125","53.6","4728","24","25.4","0.3","0","74","26.3","0","0","1","484"
"Adrien Tameze","midfielder","Nice","8da74c05","23","2017","73","0.3","0.8","19","99","1","52","13","46","78.3","4045","16","22","-0.06","0","117","51.2","0","1","0","529"
"Adrien Thomasson","midfielder","Nantes","c76b7567","23","2017","74","4.2","2.7","40","89","0","21","81","35","60","4247","30","30.1","0.06","0","203","27.7","0","1","0","529"
"Ainsley Maitland-Niles","forward","Arsenal","e3a5814e","19","2017","71","0.2","1.4","18","37","2","36","19","25","80","1881","0","14.3","0","0","73","30","0","0","1","361"
"Alberto Grassi","midfielder","SPAL","6cc97b6a","22","2017","75","2.9","0.7","11","91","0","54","36","30","43.3","3200","0","25.9","-0.43","0","128","54.5","0","1","0","484"
