Player,Pos,Squad,id,Age,Season,RATING,xG,Blocks,Tkl+Int,Err,Def Pen,Att.5,Succ%,Mn/Sub,xG+/-90,OG,Won%,def,mid,forw,Age^2
Aaron Cresswell,defender,West Ham,4f974391,27,2017,74,0.8,51,78,1,120,14,35.7,0,-0.39,0,54.8,1,0,0,729
Aaron Ramsey,midfielder,Arsenal,ef619b0b,26,2017,82,6.1,24,59,1,16,36,80.6,0,0.97,0,40.0,0,1,0,676
Abdou Diallo,defender,Mainz 05,fc62f087,21,2017,78,2.3,23,125,0,102,49,65.3,0,-0.4,0,66.4,1,0,0,441
Abdoulaye Bamba,defender,Angers,7fecbcdb,27,2017,71,0.1,23,40,0,35,15,60.0,9,-0.04,0,56.7,1,0,0,729
Abdoulaye DoucourГ©,midfielder,Watford,02b29014,24,2017,81,3.5,44,133,0,95,53,77.4,0,-0.19,0,45.2,0,1,0,576
Abdoulaye TourГ©,midfielder,Nantes,ef7cd87a,23,2017,75,1.5,27,136,1,81,64,70.3,29,0.06,0,64.2,0,1,0,529
Achraf Hakimi,defender,Real Madrid,e42d61c7,18,2017,75,0.3,13,31,1,25,31,71.0,62,1.01,0,47.4,1,0,0,324
Adam Lallana,midfielder,Liverpool,99813635,29,2017,81,1.5,3,4,0,1,7,85.7,0,1.17,0,42.9,0,1,0,841
Adam MaruЕЎiД‡,defender,Lazio,d4535821,24,2017,78,3.1,58,59,0,36,63,46.0,0,0.62,0,62.8,1,0,0,576
Adam Ounas,forward,Napoli,ed90babd,20,2017,73,0.2,2,4,0,1,6,66.7,0,1.18,0,0.0,0,0,1,400
Adama Soumaoro,defender,Lille,7b075c75,25,2017,74,0.1,1,25,1,93,9,100.0,0,-0.66,0,67.9,1,0,0,625
Ademola Lookman,midfielder,RB Leipzig,7c104bb7,19,2017,72,3.1,13,7,0,5,28,42.9,0,-0.08,0,16.7,0,1,0,361
Admir Mehmedi,forward,Leverkusen,b500b384,26,2017,77,0.9,11,33,0,6,12,16.7,0,0.23,0,56.0,0,0,1,676
Adnan Januzaj,forward,Real Sociedad,4737cebe,22,2017,78,6.3,20,27,0,7,125,53.6,24,0.3,0,26.3,0,0,1,484
